Frame,Visibility,X,Y
0,1,798,78
1,1,795,90
2,1,795,90
3,1,791,100
4,1,786,115
5,1,786,130
6,1,783,145
7,1,783,164
8,1,783,164
9,1,780,182
10,1,780,201
11,1,780,220
12,1,776,242
13,1,776,261
14,1,772,266
15,1,768,280
16,1,761,291
17,1,757,307
18,1,750,317
19,1,750,333
20,1,750,333
21,1,742,345
22,1,742,363
23,1,738,378
24,1,735,397
25,1,731,411
26,1,731,415
27,1,727,435
28,1,723,452
29,1,720,480
30,1,720,502
31,1,716,525
32,1,716,525
33,1,711,551
34,1,708,581
35,1,705,607
36,1,705,637
37,1,727,614
38,1,726,601
39,1,780,480
40,1,828,363
41,1,862,291
42,1,888,231
43,1,911,187
44,1,915,187
45,1,933,145
46,1,952,115
47,1,967,86
48,1,982,66
49,1,997,48
50,1,997,45
51,1,1012,33
52,1,1022,18
53,1,1035,10
54,1,1046,6
55,1,1053,3
56,1,1057,3
57,1,1068,3
58,1,1075,3
59,1,1087,3
60,1,1095,6
61,1,1102,10
62,1,1102,10
63,1,1112,18
64,1,1120,30
65,1,1127,41
66,1,1135,51
67,1,1142,66
68,1,1142,66
69,1,1150,78
70,1,1157,96
71,1,1162,111
72,1,1170,131
73,1,1177,150
74,1,1172,150
75,1,1222,262
76,1,1255,345
77,1,1282,411
78,1,1305,468
79,1,1320,521
80,1,1323,521
81,1,1338,570
82,1,1352,614
83,1,1365,659
84,1,1376,701
85,1,1387,738
86,1,1391,767
87,1,1395,790
88,1,1406,831
89,1,1412,873
90,1,1421,918
91,1,1425,930
92,1,1427,930
93,1,1435,936
94,1,1442,940
95,1,1451,952
96,1,1455,962
97,1,1462,977
98,1,1462,977
99,1,1472,988
100,1,1485,1001
101,1,1487,1008
102,1,1496,1016
103,1,1502,1027
104,1,1502,1027
105,1,1511,1034
106,1,1515,1038
107,1,1522,1042
108,1,1525,1050
109,1,1530,1053
110,1,1530,1053
111,1,1537,1057
112,1,1541,1061
113,1,1545,1061
114,1,1547,1065
115,1,1547,1065
116,1,1526,1050
117,1,1511,1029
118,1,1468,991
119,1,1458,944
120,1,1309,884
121,1,1284,787
122,1,1268,713
123,1,1233,637
124,1,1167,535
125,1,914,268
126,1,914,268
127,1,914,268
128,1,914,268
129,1,914,268
130,1,914,268
131,1,985,309
132,1,1041,322
133,1,1093,355
134,1,1115,398
135,1,1144,407
136,1,1171,415
137,1,1193,424
138,1,1203,431
139,1,1211,440
140,1,1225,449
141,1,1225,449
142,1,1237,465
143,1,1252,480
144,1,1262,495
145,1,1275,513
146,1,1286,532
147,1,1286,535
148,1,1297,555
149,1,1305,577
150,1,1316,603
151,1,1323,625
152,1,1245,513
153,1,1245,513
154,1,1185,435
155,1,1140,378
156,1,1097,329
157,1,1068,291
158,1,1046,270
159,1,1046,270
160,1,1012,236
161,1,990,217
162,1,967,198
163,1,952,182
164,1,937,172
165,1,933,172
166,1,918,164
167,1,903,161
168,1,892,156
169,1,877,156
170,1,870,156
171,1,866,156
172,1,858,156
173,1,847,164
174,1,840,168
175,1,832,175
176,1,825,182
177,1,825,187
178,1,817,194
179,1,810,205
180,1,806,221
181,1,802,231
182,1,795,247
183,1,795,247
184,1,788,267
185,1,783,296
186,1,772,333
187,1,761,360
188,1,753,386
189,1,753,386
190,1,746,411
191,1,738,435
192,1,735,457
193,1,727,480
194,1,723,506
195,1,723,506
196,1,720,532
197,1,711,557
198,1,708,585
199,1,738,587
200,1,787,532
201,1,791,532
202,1,832,491
203,1,866,468
204,1,903,437
205,1,930,420
206,1,943,409
207,1,956,400
208,1,975,393
209,1,992,386
210,1,1012,382
211,1,1031,378
212,1,1042,378
213,1,1046,378
214,1,1057,382
215,1,1072,386
216,1,1082,389
217,1,1095,397
218,1,1106,405
219,1,1110,405
220,1,1117,415
221,1,1125,423
222,1,1082,360
223,1,1057,329
224,1,1031,296
225,1,1031,291
226,1,1005,266
227,1,982,240
228,1,960,221
229,1,941,205
230,1,926,194
231,1,922,194
232,1,907,182
233,1,888,175
234,1,870,172
235,1,855,172
236,1,843,172
237,1,843,172
238,1,828,175
239,1,813,182
240,1,798,191
241,1,787,202
242,1,776,213
243,1,776,213
244,1,761,231
245,1,746,247
246,1,735,270
247,1,720,291
248,1,711,315
249,1,708,315
250,1,697,345
251,1,686,371
252,1,675,400
253,1,667,431
254,1,656,465
255,1,656,465
256,1,648,497
257,1,641,540
258,1,633,570
259,1,631,583
260,1,647,581
261,1,678,577
262,1,717,560
263,1,764,526
264,1,823,514
265,1,848,481
266,1,896,485
267,1,946,469
268,1,964,457
269,1,993,453
270,1,1020,449
271,1,1050,446
272,1,1063,440
273,1,1075,436
274,1,1087,435
275,1,1110,435
276,1,1127,437
277,1,1142,442
278,1,1157,446
279,1,1157,449
280,1,1172,452
281,1,1185,465
282,1,1200,476
283,1,1211,486
284,1,1222,497
285,1,1222,497
286,1,1230,509
287,1,1200,465
288,1,1150,397
289,1,1120,356
290,1,1087,317
291,1,1087,317
292,1,1061,285
293,1,1046,270
294,1,1012,240
295,1,990,221
296,1,970,205
297,1,967,202
298,1,948,191
299,1,930,180
300,1,907,175
301,1,892,172
302,1,877,172
303,1,873,172
304,1,855,172
305,1,840,175
306,1,821,182
307,1,806,191
308,1,791,202
309,1,791,202
310,1,772,217
311,1,757,231
312,1,742,254
313,1,727,276
314,1,716,296
315,1,716,300
316,1,701,322
317,1,690,351
318,1,675,378
319,1,663,411
320,1,652,442
321,1,652,442
322,1,645,476
323,1,633,509
324,1,708,300
325,0,0,0
326,0,0,0
327,0,0,0
328,0,0,0
329,0,0,0
330,0,0,0
331,0,0,0
332,0,0,0
333,0,0,0
334,0,0,0
335,0,0,0
336,0,0,0
337,0,0,0
338,0,0,0
339,0,0,0
340,0,0,0
341,0,0,0
342,0,0,0
343,0,0,0
344,0,0,0
345,0,0,0
346,0,0,0
347,0,0,0
348,0,0,0
349,0,0,0
350,0,0,0
351,0,0,0
352,0,0,0
353,0,0,0
354,0,0,0
355,0,0,0
356,0,0,0
357,0,0,0
358,0,0,0
359,0,0,0
360,0,0,0
361,0,0,0
362,0,0,0
363,0,0,0
364,0,0,0
365,0,0,0
366,0,0,0
367,1,1102,6
368,1,1106,25
369,1,1106,25
370,1,1110,51
371,1,1112,75
372,1,1117,101
373,1,1095,138
374,1,1074,189
375,1,1038,257
376,1,985,340
377,1,952,400
378,1,922,449
379,1,896,497
380,1,870,540
381,1,873,540
382,1,851,585
383,1,832,622
384,1,813,662
385,1,795,701
386,1,780,685
387,1,778,662
388,1,783,618
389,1,787,561
390,1,783,521
391,1,783,486
392,1,783,465
393,1,783,460
394,1,783,435
395,1,783,420
396,1,783,405
397,1,783,389
398,1,783,382
399,1,783,382
400,1,783,374
401,1,783,374
402,1,783,371
403,1,787,374
404,1,787,374
405,1,787,374
406,1,787,382
407,1,787,386
408,1,791,393
409,1,791,405
410,1,795,415
411,1,795,420
412,1,795,426
413,1,798,442
414,1,798,457
415,1,791,449
416,1,783,431
417,1,783,426
418,1,776,415
419,1,768,405
420,1,761,400
421,1,757,400
422,1,750,400
423,1,750,405
424,1,742,405
425,1,738,405
426,1,731,411
427,1,727,420
428,1,720,426
429,1,720,431
430,1,716,442
431,1,711,452
432,1,705,472
433,1,701,491
434,1,697,509
435,1,697,509
436,1,693,532
437,1,690,555
438,1,682,577
439,1,682,603
440,1,668,628
441,1,684,608
442,1,742,468
443,1,791,360
444,1,825,291
445,1,851,231
446,1,877,182
447,1,877,182
448,1,900,142
449,1,922,105
450,1,941,75
451,1,956,51
452,1,975,30
453,1,975,30
454,1,990,10
455,1,1000,3
456,0,0,0
457,0,0,0
458,0,0,0
459,0,0,0
460,0,0,0
461,0,0,0
462,0,0,0
463,0,0,0
464,0,0,0
465,0,0,0
466,0,0,0
467,0,0,0
468,0,0,0
469,1,1135,6
470,1,1147,15
471,1,1147,15
472,1,1155,30
473,1,1162,45
474,1,1170,60
475,1,1177,75
476,1,1185,96
477,1,1185,96
478,1,1192,111
479,1,1200,135
480,1,1225,210
481,1,1262,307
482,1,1286,378
483,1,1290,378
484,1,1307,437
485,1,1327,491
486,1,1342,540
487,1,1357,585
488,1,1367,630
489,1,1367,630
490,1,1380,670
491,1,1387,712
492,1,1397,757
493,1,1410,795
494,1,1412,840
