Frame,Visibility,X,Y
0,1,378,152
1,1,435,152
2,1,480,152
3,1,517,150
4,1,558,150
5,1,603,150
6,1,607,150
7,1,645,150
8,1,693,150
9,1,738,150
10,1,780,145
11,1,828,142
12,1,913,146
13,1,881,142
14,1,926,138
15,1,975,135
16,1,105,202
17,1,454,301
18,1,400,292
19,1,210,194
20,1,262,191
21,1,307,187
22,1,360,182
23,1,405,180
24,1,434,178
25,1,453,180
26,1,502,172
27,1,551,172
28,1,522,165
29,1,530,167
30,1,551,173
31,1,576,181
32,1,617,165
33,1,687,170
34,1,722,386
35,1,744,595
36,1,843,657
37,1,736,760
38,1,748,816
39,1,745,865
40,1,734,919
41,1,722,951
42,1,708,981
43,1,701,997
44,1,701,997
45,1,701,997
46,1,701,997
47,1,701,997
48,1,701,997
49,1,701,997
50,1,701,997
51,1,701,997
52,1,701,997
53,1,701,997
54,1,701,997
55,1,701,997
56,1,701,997
57,1,701,997
58,1,701,997
59,1,701,997
60,1,701,997
61,1,701,997
62,1,701,997
63,1,701,997
64,1,701,997
65,1,701,997
66,1,701,997
67,1,701,997
68,1,701,997
69,1,701,997
70,1,701,997
71,1,701,997
72,1,701,997
73,1,701,997
74,1,701,997
75,1,701,997
76,1,701,997
77,1,701,997
78,1,701,997
79,1,701,997
80,1,701,997
81,1,701,997
82,1,701,997
83,1,701,997
84,1,701,997
85,1,701,997
86,1,701,997
87,1,701,997
88,1,701,997
89,1,701,997
90,1,701,997
91,1,701,997
92,1,701,997
93,1,701,997
94,1,701,997
95,1,701,997
96,1,701,997
97,1,701,997
98,1,701,997
99,1,701,997
100,1,701,997
101,1,701,997
102,1,701,997
103,1,701,997
104,1,701,997
105,1,701,997
106,1,701,997
107,1,701,997
108,1,701,997
109,1,701,997
110,1,701,997
111,1,701,997
112,1,701,997
113,1,701,997
114,1,701,997
115,1,701,997
116,1,701,997
117,1,701,988
118,1,714,971
119,1,704,948
120,1,751,900
121,1,743,831
122,1,680,773
123,1,756,697
124,1,822,611
125,1,925,499
126,1,914,268
127,1,914,268
128,1,914,268
129,1,914,268
130,1,914,268
131,1,914,268
132,1,914,268
133,1,914,268
134,1,899,422
135,1,901,544
136,1,909,581
137,1,841,689
138,1,865,729
139,1,863,762
140,1,855,789
141,1,852,824
142,1,842,851
143,1,843,870
144,1,843,866
145,1,843,847
146,1,843,825
147,1,840,810
148,1,840,795
149,1,836,783
150,1,836,779
151,1,832,772
152,1,832,765
153,1,832,761
154,1,828,753
155,1,830,742
156,1,839,725
157,1,831,704
158,1,851,670
159,1,875,613
160,1,873,597
161,1,858,497
162,1,872,450
163,1,889,382
164,1,914,268
165,1,914,268
166,1,914,268
167,1,914,268
168,1,914,268
169,1,914,268
170,1,914,268
171,1,914,268
172,1,914,268
173,1,914,268
174,1,914,268
175,1,914,268
176,1,888,384
177,1,877,452
178,1,872,487
179,1,850,577
180,1,842,625
181,1,826,660
182,1,816,691
183,1,815,706
184,1,812,716
185,1,813,720
186,1,813,716
187,1,813,712
188,1,813,705
189,1,810,692
190,1,810,681
191,1,806,675
192,1,806,670
193,1,806,666
194,1,806,662
195,1,806,662
196,1,806,662
197,1,802,662
198,1,802,662
199,1,802,666
200,1,799,670
201,1,805,671
202,1,796,675
203,1,816,646
204,1,812,644
205,1,805,646
206,1,804,665
207,1,821,650
208,1,843,603
209,1,862,543
210,1,866,543
211,1,881,495
212,1,896,457
213,1,907,420
214,1,922,389
215,1,930,371
216,1,930,371
217,1,937,348
218,1,948,333
219,1,956,322
220,1,962,315
221,1,970,307
222,1,970,307
223,1,977,302
224,1,985,300
225,1,990,300
226,1,997,300
227,1,1005,302
228,1,1005,302
229,1,1007,307
230,1,1016,315
231,1,1020,322
232,1,1027,333
233,1,1031,345
234,1,1031,345
235,1,1037,360
236,1,1042,371
237,1,1046,386
238,1,1046,393
239,1,1050,382
240,1,1050,382
241,1,1053,367
242,1,1050,356
243,1,1050,348
244,1,1046,345
245,1,1046,345
246,1,1046,345
247,1,1046,340
248,1,1046,340
249,1,1046,345
250,1,1046,345
251,1,1046,351
252,1,1042,351
253,1,1042,360
254,1,1037,367
255,1,1037,378
256,1,1037,389
257,1,1042,400
258,1,1037,405
259,1,1036,408
260,1,1031,408
261,1,1032,406
262,1,1028,406
263,1,1012,403
264,1,1000,383
265,1,977,347
266,1,963,317
267,1,931,284
268,1,914,268
269,1,914,268
270,1,914,268
271,1,914,268
272,1,914,268
273,1,914,268
274,1,914,268
275,1,914,268
276,1,914,268
277,1,914,268
278,1,914,268
279,1,914,268
280,1,914,268
281,1,914,268
282,1,914,268
283,1,914,268
284,1,914,268
285,1,914,268
286,1,914,268
287,1,914,268
288,1,914,268
289,1,914,268
290,1,914,268
291,1,914,268
292,1,914,268
293,1,914,268
294,1,914,268
295,1,914,268
296,1,914,268
297,1,914,268
298,1,914,268
299,1,914,268
300,1,914,268
301,1,914,268
302,1,914,268
303,1,914,268
304,1,914,268
305,1,914,268
306,1,914,268
307,1,914,268
308,1,914,268
309,1,914,268
310,1,914,268
311,1,914,268
312,1,914,268
313,1,914,268
314,1,914,268
315,1,914,268
316,1,914,268
317,1,914,268
318,1,914,268
319,1,914,268
320,1,914,268
321,1,914,268
322,1,914,268
323,1,914,268
324,1,914,268
325,1,914,268
326,1,914,268
327,1,914,268
328,1,914,268
329,1,914,268
330,1,914,268
331,1,914,268
332,1,914,268
333,1,914,268
334,1,914,268
335,1,914,268
336,1,914,268
337,1,914,268
338,1,914,268
339,1,914,268
340,1,914,268
341,1,914,268
342,1,914,268
343,1,914,268
344,1,914,268
345,1,914,268
346,1,914,268
347,1,914,268
348,1,914,268
349,1,914,268
350,1,914,268
351,1,914,268
352,1,914,268
353,1,914,268
354,1,914,268
355,1,914,268
356,1,914,268
357,1,914,268
358,1,914,268
359,1,914,268
360,1,914,268
361,1,914,268
362,1,914,268
