Frame,Visibility,X,Y
0,1,601,203
1,1,606,194
2,1,608,188
3,1,609,184
4,1,609,181
5,1,609,179
6,1,609,178
7,1,610,178
8,1,610,177
9,1,611,177
10,1,610,177
11,1,609,177
12,1,609,179
13,1,609,180
14,1,608,182
15,1,609,178
16,1,609,178
17,1,609,178
18,1,609,178
19,1,637,238
20,1,646,261
21,1,651,296
22,1,646,349
23,1,647,364
24,1,650,394
25,1,647,415
26,1,653,417
27,1,664,410
28,1,667,402
29,1,671,374
30,1,676,357
31,1,685,337
32,1,685,330
33,1,685,330
34,1,684,322
35,1,682,321
36,1,689,320
37,1,693,319
38,1,691,321
39,1,691,315
40,1,692,306
41,1,694,303
42,1,694,304
43,1,696,310
44,1,696,315
45,1,696,315
46,1,700,325
47,1,700,330
48,1,700,339
49,1,702,350
50,1,695,344
51,1,685,345
52,1,671,337
53,1,655,325
54,1,641,310
55,1,630,299
56,1,620,294
57,1,617,294
58,1,605,290
59,1,590,290
60,1,577,290
61,1,567,290
62,1,557,294
63,1,555,294
64,1,545,299
65,1,532,304
66,1,522,312
67,1,512,320
68,1,505,330
69,1,502,330
70,1,492,342
71,1,482,355
72,1,472,370
73,1,465,384
74,1,455,402
75,1,455,402
76,1,447,420
77,1,440,436
78,1,461,416
79,1,490,331
80,1,520,270
81,1,522,270
82,1,545,219
83,1,565,180
84,1,580,149
85,1,595,121
86,1,607,100
87,1,607,100
88,1,620,80
89,1,630,64
90,1,640,50
91,1,650,40
92,1,656,32
93,1,656,30
94,1,665,25
95,1,675,20
96,1,680,15
97,1,686,15
98,1,691,15
99,1,695,15
100,1,700,15
101,1,705,20
102,1,712,22
103,1,716,27
104,1,721,35
105,1,721,35
106,1,726,42
107,1,731,50
108,1,736,60
109,1,741,72
110,1,745,84
111,1,745,84
112,1,750,97
113,1,755,109
114,1,757,124
115,1,761,135
116,1,786,72
117,1,790,72
118,1,802,35
119,1,815,7
120,0,0,0
121,0,0,0
122,0,0,0
123,0,0,0
124,0,0,0
125,0,0,0
126,0,0,0
127,0,0,0
128,0,0,0
129,0,0,0
130,0,0,0
131,0,0,0
132,0,0,0
133,0,0,0
134,0,0,0
135,0,0,0
136,0,0,0
137,0,0,0
138,0,0,0
139,0,0,0
140,0,0,0
141,0,0,0
142,0,0,0
143,1,890,5
144,1,890,20
145,1,890,40
146,1,890,60
