Frame,Visibility,X,Y
0,1,1185,314
1,1,1180,317
2,1,1177,322
3,1,1148,348
4,1,1115,378
5,1,1078,421
6,1,1045,460
7,1,1012,501
8,1,990,532
9,1,960,576
10,1,936,611
11,1,936,611
12,1,915,644
13,1,892,677
14,1,873,720
15,1,868,701
16,1,866,618
17,1,866,618
18,1,873,570
19,1,873,528
20,1,873,495
21,1,873,468
22,1,877,449
23,1,877,446
24,1,877,431
25,1,877,415
26,1,881,405
27,1,881,397
28,1,885,393
29,1,885,389
30,1,885,389
31,1,888,389
32,1,888,389
33,1,892,389
34,1,892,397
35,1,892,397
36,1,892,405
37,1,896,411
38,1,900,423
39,1,900,435
40,1,903,446
41,1,903,449
42,1,907,468
43,1,907,480
44,1,903,468
45,1,896,446
46,1,881,420
47,1,881,420
48,1,877,397
49,1,873,386
50,1,870,374
51,1,862,367
52,1,858,367
53,1,858,363
54,1,851,360
55,1,847,360
56,1,840,356
57,1,836,356
58,1,832,356
59,1,832,360
60,1,825,360
61,1,821,367
62,1,817,378
63,1,813,389
64,1,810,405
65,1,810,405
66,1,806,420
67,1,802,437
68,1,798,457
69,1,795,480
70,1,791,497
71,1,791,497
72,1,787,521
73,1,783,546
74,1,780,573
75,1,780,585
76,1,782,594
77,1,791,483
78,1,828,307
79,1,851,180
80,1,870,90
81,0,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
86,0,0,0
87,0,0,0
88,0,0,0
89,0,0,0
90,0,0,0
91,0,0,0
92,0,0,0
93,0,0,0
94,0,0,0
95,0,0,0
96,0,0,0
97,0,0,0
98,0,0,0
99,0,0,0
100,0,0,0
101,0,0,0
102,0,0,0
103,0,0,0
104,0,0,0
105,0,0,0
106,0,0,0
107,0,0,0
108,0,0,0
109,0,0,0
110,0,0,0
111,0,0,0
112,0,0,0
113,0,0,0
114,0,0,0
115,0,0,0
116,0,0,0
117,0,0,0
118,0,0,0
119,0,0,0
120,0,0,0
121,0,0,0
122,0,0,0
123,0,0,0
124,0,0,0
125,0,0,0
126,0,0,0
127,0,0,0
128,0,0,0
129,1,1132,6
130,1,1132,37
131,1,1132,37
132,1,1132,66
133,1,1135,90
134,1,1140,120
135,1,1125,153
136,1,1065,180
137,1,1065,180
138,1,1020,202
139,1,982,224
140,1,945,247
141,1,915,270
142,1,888,291
143,1,888,291
144,1,858,315
145,1,832,337
146,1,810,363
147,1,787,386
148,1,768,411
149,1,768,408
150,1,746,437
151,1,727,465
152,1,708,491
153,1,693,517
154,1,678,546
155,1,678,546
156,1,660,577
157,1,648,607
158,1,633,637
159,1,622,670
160,1,613,700
161,1,611,701
162,1,615,620
163,1,618,531
164,1,630,442
165,1,641,367
166,1,648,311
167,1,652,311
168,1,660,258
169,1,667,217
170,1,675,180
171,1,678,150
172,1,686,123
173,1,686,120
174,1,690,101
175,1,697,82
176,1,701,66
177,1,708,55
178,1,711,45
179,1,711,45
180,1,720,37
181,1,723,33
182,1,727,30
183,1,731,30
184,1,738,30
185,1,738,30
186,1,742,33
187,1,750,37
188,1,753,45
189,1,757,51
190,1,765,63
191,1,765,66
192,1,772,78
193,1,776,90
194,1,780,105
195,1,787,123
196,1,787,142
197,1,791,142
198,1,795,156
199,1,798,172
200,1,778,381
201,1,716,452
202,1,693,532
203,1,693,528
204,1,675,592
205,1,660,656
206,1,645,712
207,1,630,761
208,1,615,810
209,1,615,812
210,1,603,862
211,1,592,907
212,1,585,921
213,1,577,930
214,1,570,945
215,1,570,945
216,1,566,960
217,1,562,975
218,1,558,992
219,1,555,1012
220,1,551,1019
221,1,547,1019
222,1,543,1031
223,1,540,1042
224,1,536,1053
225,1,536,1065
226,1,532,1068
227,1,542,1040
228,1,548,1018
229,1,535,986
230,1,576,931
231,1,554,859
232,1,490,799
233,1,677,733
234,1,770,645
235,1,938,526
236,1,914,268
237,1,914,268
238,1,914,268
239,1,914,268
240,1,914,268
241,1,914,268
242,1,914,268
243,1,914,268
244,1,914,268
245,1,914,268
246,1,914,268
247,1,914,268
248,1,914,268
249,1,914,268
250,1,914,268
251,1,914,268
252,1,914,268
253,1,914,268
254,1,914,268
255,1,914,268
256,1,914,268
257,1,914,268
258,1,914,268
259,1,914,268
260,1,914,268
261,1,914,268
262,1,945,255
263,1,1001,259
264,1,1047,256
265,1,1082,290
266,1,1079,289
267,1,1094,283
268,1,1100,277
269,1,1114,267
270,1,1123,264
271,1,1140,254
272,1,1150,247
273,1,1157,247
274,1,1162,243
275,1,1170,243
276,1,1177,247
277,1,1185,251
278,1,1192,258
279,1,1195,266
280,1,1200,266
281,1,1203,276
282,1,1211,291
283,1,1215,307
284,1,1222,326
285,1,1225,345
286,1,1230,348
287,1,1230,371
288,1,1237,397
289,1,1237,423
290,1,1241,449
291,1,1245,483
292,1,1245,483
293,1,1247,517
294,1,1252,535
295,1,1241,476
296,1,1245,431
297,1,1241,405
298,1,1241,405
299,1,1241,382
300,1,1241,371
301,1,1241,360
302,1,1237,351
303,1,1237,351
304,1,1237,351
305,1,1237,351
306,1,1237,351
307,1,1237,351
308,1,1237,356
309,1,1237,363
310,1,1237,363
311,1,1237,371
312,1,1237,378
313,1,1237,389
314,1,1237,400
315,1,1237,411
316,1,1237,415
317,1,1222,420
318,1,1206,411
319,1,1192,400
320,1,1172,405
321,1,1162,408
322,1,1162,411
323,1,1147,411
324,1,1135,420
325,1,1125,426
326,1,1110,437
327,1,1097,449
328,1,1097,452
329,1,1087,465
330,1,1075,483
331,1,1065,497
332,1,1053,521
333,1,1046,540
334,1,1042,540
335,1,1035,561
336,1,1027,587
337,1,1017,619
338,1,992,574
339,1,977,476
340,1,977,476
341,1,948,386
342,1,930,322
343,1,915,270
344,1,900,224
345,1,892,187
346,1,888,187
347,1,881,156
348,1,870,131
349,1,862,108
350,1,855,90
351,1,847,78
352,1,847,75
353,1,840,63
354,1,836,55
355,1,832,48
356,1,825,45
357,1,821,45
358,1,821,45
359,1,817,45
360,1,813,45
361,1,810,51
362,1,806,55
363,1,806,63
364,1,802,66
365,1,802,75
366,1,802,82
367,1,798,96
368,1,795,111
369,1,795,127
370,1,795,127
371,1,795,142
372,1,791,156
373,1,765,243
374,1,738,322
375,1,720,382
376,1,720,382
377,1,701,435
378,1,686,483
379,1,671,528
380,1,656,573
381,1,645,614
382,1,645,614
383,1,633,656
384,1,622,697
385,1,611,742
386,1,600,783
387,1,592,825
388,1,592,825
389,1,581,866
390,1,573,911
391,1,562,960
392,1,555,1005
393,1,547,1045
394,1,547,1045
395,1,540,1065
396,1,536,1065
397,1,536,1065
398,1,544,1040
399,1,550,1018
400,1,537,985
401,1,578,931
402,1,557,858
403,1,494,798
404,1,680,732
405,1,772,644
406,1,937,525
407,1,914,268
408,1,914,268
409,1,914,268
410,1,914,268
411,1,914,268
412,1,914,268
413,1,914,268
414,1,914,268
415,1,914,268
416,1,914,268
417,1,914,268
418,1,914,268
419,1,914,268
420,1,914,268
421,1,914,268
422,1,914,268
423,1,914,268
424,1,914,268
425,1,914,268
426,1,914,268
427,1,914,268
428,1,914,268
429,1,914,268
430,1,914,268
431,1,914,268
432,1,914,268
433,1,936,319
434,1,942,341
435,1,944,386
436,1,925,452
437,1,924,465
438,1,944,478
439,1,938,482
440,1,932,476
441,1,937,462
442,1,937,457
443,1,937,446
444,1,937,437
445,1,933,435
446,1,933,431
447,1,933,426
448,1,933,426
449,1,937,431
450,1,937,435
451,1,937,437
452,1,933,446
453,1,933,452
454,1,933,457
455,1,937,468
456,1,937,480
457,1,937,495
458,1,928,489
459,1,911,476
460,1,902,457
461,1,885,438
462,1,877,426
463,1,858,420
464,1,847,411
465,1,836,411
466,1,832,411
467,1,821,411
468,1,810,415
469,1,798,420
470,1,787,423
471,1,776,431
472,1,776,431
473,1,765,442
474,1,753,449
475,1,742,468
476,1,731,483
477,1,720,502
478,1,720,502
479,1,711,521
480,1,701,540
481,1,727,513
482,1,783,411
483,1,825,348
484,1,828,348
485,1,862,291
486,1,888,247
487,1,915,213
488,1,937,182
489,1,960,156
490,1,960,156
491,1,977,138
492,1,997,120
493,1,1012,105
494,1,1027,96
495,1,1042,90
496,1,1042,90
497,1,1053,82
498,1,1065,78
499,1,1080,78
500,1,1087,78
501,1,1097,82
502,1,1102,82
503,1,1110,86
504,1,1117,90
505,1,1127,96
506,1,1135,108
507,1,1142,120
508,1,1147,120
509,1,1155,131
510,1,1162,142
511,1,1170,156
512,1,1177,175
513,1,1181,191
514,1,1181,191
515,1,1188,210
516,1,1192,228
517,1,1200,247
518,1,1203,270
519,1,1211,288
520,1,1215,288
521,1,1232,300
522,1,1247,315
523,1,1262,322
524,1,1275,337
525,1,1286,348
526,1,1290,348
527,1,1297,363
528,1,1307,378
529,1,1316,397
530,1,1323,411
531,1,1331,431
532,1,1331,435
533,1,1338,449
534,1,1342,472
535,1,1350,497
536,1,1357,521
537,1,1361,546
538,1,1365,546
539,1,1367,573
540,1,1372,600
541,1,1357,581
542,1,1342,540
543,1,1327,506
544,1,1327,506
545,1,1312,476
546,1,1305,457
547,1,1297,437
548,1,1286,426
549,1,1277,415
550,1,1275,415
551,1,1267,405
552,1,1260,400
553,1,1255,397
554,1,1247,397
555,1,1245,397
556,1,1241,397
557,1,1237,400
558,1,1232,408
559,1,1225,411
560,1,1222,423
561,1,1217,431
562,1,1217,435
563,1,1215,446
564,1,1215,452
565,1,1179,442
566,1,1144,427
567,1,1112,415
568,1,1110,415
569,1,1080,405
570,1,1050,397
571,1,1022,393
572,1,997,389
573,1,975,389
574,1,975,393
575,1,948,393
576,1,926,397
577,1,903,405
578,1,881,411
579,1,862,423
580,1,862,423
581,1,840,435
582,1,821,449
583,1,798,468
584,1,783,483
585,1,765,502
586,1,765,502
587,1,746,525
588,1,731,546
589,1,720,561
590,1,705,525
591,1,708,502
592,1,708,502
593,1,697,480
594,1,690,460
595,1,690,446
596,1,690,435
597,1,690,426
598,1,686,426
599,1,686,420
600,1,682,411
601,1,682,408
602,1,682,408
603,1,682,411
604,1,682,411
605,1,682,420
606,1,682,426
607,1,682,435
608,1,682,449
609,1,682,460
610,1,682,465
611,1,678,476
612,1,682,495
613,1,678,509
614,1,678,528
615,1,678,546
616,1,678,546
617,1,678,570
618,1,678,587
619,1,676,514
620,1,675,405
621,1,675,329
622,1,675,329
623,1,675,270
624,1,675,210
625,1,675,161
626,1,675,115
627,1,675,78
628,1,675,78
629,1,675,41
630,1,675,10
631,0,0,0
632,0,0,0
633,0,0,0
634,0,0,0
635,0,0,0
636,0,0,0
637,0,0,0
638,0,0,0
639,0,0,0
640,0,0,0
641,0,0,0
642,0,0,0
643,0,0,0
644,0,0,0
645,0,0,0
646,0,0,0
647,0,0,0
648,0,0,0
649,0,0,0
650,0,0,0
651,0,0,0
652,0,0,0
653,0,0,0
654,1,678,21
655,1,678,48
656,1,678,82
657,1,678,111
658,1,678,111
659,1,678,145
660,1,678,182
661,1,682,221
662,1,682,258
663,1,682,296
664,1,682,296
665,1,682,337
666,1,682,378
667,1,682,420
668,1,744,435
669,1,826,420
670,1,914,415
671,1,962,411
672,1,1007,411
673,1,1037,415
674,1,1065,420
675,1,1082,423
676,1,1082,423
677,1,1097,431
678,1,1112,437
679,1,1125,446
680,1,1135,452
681,1,1150,437
682,1,1150,437
683,1,1155,420
684,1,1162,415
685,1,1172,411
686,1,1181,405
687,1,1185,405
688,1,1188,405
689,1,1192,405
690,1,1195,408
691,1,1203,411
692,1,1206,420
693,1,1211,426
694,1,1215,431
695,1,1217,442
696,1,1222,452
697,1,1225,468
698,1,1230,486
699,1,1230,502
700,1,1232,502
701,1,1232,525
702,1,1237,546
703,1,1241,570
704,1,1241,596
705,1,1245,622
706,1,1245,622
707,1,1247,637
708,1,1243,591
709,1,1241,540
710,1,1241,506
711,1,1245,486
712,1,1245,486
713,1,1245,465
714,1,1245,449
715,1,1241,435
716,1,1241,426
717,1,1241,420
718,1,1241,415
719,1,1241,411
720,1,1241,411
721,1,1245,411
