start_time,end_time,win_point_player,win_reason,ball_types,lose_reason,roundscore_A,roundscore_B
00:00,00:00,An Se Young,wins by landing,push,unable to return,1,0
00:00,00:09,An Se Young,wins by landing,push,unable to return,2,0
00:09,00:19,An Se Young,wins by landing,push,unable to return,3,0
00:19,00:23,An Se Young,wins by landing,push,unable to return,4,0
00:23,00:27,An Se Young,wins by landing,push,unable to return,5,0
00:27,00:30,An Se Young,wins by landing,push,unable to return,6,0
00:30,00:42,Ratchanok Intanon,wins by landing,push,unable to return,6,1
00:42,00:51,Ratchanok Intanon,wins by landing,push,unable to return,6,2
00:51,01:00,An Se Young,wins by landing,push,unable to return,7,2
01:00,01:05,Ratchanok Intanon,wins by landing,push,unable to return,7,3
